id;nomfiliere;responsable;accreditaion;programme
1;Refined;Pike Borders;payment Rustic;MASTER
2;SMTP;matrices;Savings Account redefine Multi-channelled;MASTER_EXECUTIF
3;initiatives;Jordan;Uganda Shilling Cotton;MASTER_EXECUTIF
4;De-engineered strategic integrate;array payment;optical transmitter;MASTER_EXECUTIF
5;Botswana;zero defect;Granite;LICENCE
6;deposit;Estate;Incredible Sleek Arizona;LICENCE
7;Automotive;invoice;Minnesota Open-architected Lebanon;MASTER
8;Plastic;capacitor;feed;MASTER
9;feed;communities;Officer Quality-focused invoice;MASTER_EXECUTIF
10;transmitting COM;Music Data East Caribbean Dollar;Savings Account Branding navigating;MASTER_EXECUTIF
