id;semestre;descriptif;observations;date;debut_creneau;fin_creneau;duree
1;S2;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-22T17:38:07;2020-10-22T01:45:44;2020-10-21T23:29:38;40479
2;S3;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-22T08:09:37;2020-10-22T10:49:59;2020-10-22T09:12:47;82753
3;S2;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-22T02:18:33;2020-10-21T21:38:27;2020-10-22T20:30:27;24858
4;S5;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-22T01:48:15;2020-10-22T14:32:12;2020-10-22T06:48:03;76028
5;S3;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-22T20:28:53;2020-10-22T00:44:57;2020-10-22T14:59:00;62929
6;S2;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-22T14:23:31;2020-10-22T07:37:17;2020-10-22T05:15:58;45437
7;S3;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-22T09:03:16;2020-10-22T17:43:10;2020-10-22T17:10:16;86466
8;S6;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-22T05:07:53;2020-10-22T09:20:52;2020-10-22T01:18:57;37588
9;S3;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-22T01:55:55;2020-10-21T21:49:23;2020-10-21T23:21:45;13314
10;S1;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-22T01:21:33;2020-10-22T10:16:11;2020-10-22T18:56:18;25467
